Ticker,Latest Close ($),Open ($),Low ($),High ($),Daily Volume,Close 1d (%),Close 1w (%),Realised Volatility 100d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),ATM 12m/3m Ratio,Volume Rank,Open Interest Rank
VIAV,12.2,12.22,12.1,12.37,"3,808",0.0,-0.49,31.15,40.45,-53.17,-23.44,-21.0,94.48,"23,403",18.85,80.94,,186 of 371,228 of 371
LI,26.69,26.94,26.34,26.94,"20,577",0.0,9.61,43.48,64.01,-16.13,-33.39,12.07,-0.18,"459,925",0.6,28.81,0.9728,92 of 371,63 of 371
FVRR,24.35,23.37,23.32,24.64,"6,188",0.0,2.44,41.41,57.4,-3.25,2.76,62.76,149.01,"33,188",2.65,12.47,0.9351,157 of 371,213 of 371
BILI,28.02,28.0,27.48,28.2,"19,625",0.0,14.6,47.12,60.23,-31.59,-2.21,-46.5,4.95,"398,008",3.13,7.74,1.1233,97 of 371,69 of 371
CCL,31.19,31.39,30.75,31.58,"40,889",0.0,-3.94,37.02,47.57,-27.48,-1.18,-17.14,-40.05,"1,417,026",0.65,2.78,0.9375,58 of 371,24 of 371
WB,12.76,12.8,12.57,12.89,"1,772",0.0,7.14,38.15,326.93,-21.8,315.41,35.89,73.22,"63,280",-0.16,-0.45,,240 of 371,174 of 371
LAC,3.26,3.2,3.15,3.32,"3,884",0.0,14.79,56.91,81.75,-0.67,2.4,-34.12,47.18,"192,476",0.21,8.21,0.9066,183 of 371,104 of 371
NTNX,77.66,77.0,76.9,78.9,"3,642",0.0,-4.27,32.68,43.24,-11.19,-8.81,-6.35,-76.0,"144,239",0.04,-2.76,0.994,190 of 371,117 of 371
LAZR,2.4,2.11,2.1,2.55,"34,120",0.0,35.59,91.91,136.7,-20.21,-8.24,-81.29,390.16,"311,037",17.36,44.64,0.8456,65 of 371,87 of 371
DKNG,42.64,42.9,42.08,43.06,"88,509",0.0,-7.04,34.97,47.02,-28.44,-23.19,-5.34,67.82,"700,537",1.23,6.52,1.0087,31 of 371,47 of 371
UBER,92.95,96.07,92.12,97.24,"148,491",0.0,-1.83,31.49,43.85,-0.33,3.6,-59.42,40.3,"1,681,758",7.57,8.45,0.9469,22 of 371,22 of 371
EGHT,2.04,1.99,1.98,2.13,788,0.0,-8.11,58.75,70.23,-22.22,-4.6,25.68,306.19,"4,649",-0.39,12.79,,282 of 371,307 of 371
JBLU,5.07,5.1,5.03,5.29,"10,121",0.0,-2.5,55.58,69.79,-19.7,-4.09,-70.96,-56.97,"633,380",2.43,8.5,0.9372,131 of 371,52 of 371
NTRA,175.43,175.01,173.77,177.49,"1,546",0.0,0.93,36.75,50.93,-13.42,-0.26,25.18,31.91,"18,986",0.4,5.51,0.8596,247 of 371,241 of 371
HASI,28.1,28.25,27.95,29.0,"3,182",0.0,-0.81,34.62,446.92,27.33,640.16,0.0,-35.48,"31,789",-0.05,0.2,,203 of 371,217 of 371
SPR,38.56,38.56,38.26,39.07,"3,808",0.0,-1.73,19.57,37.87,-11.74,-30.38,-1.01,-0.52,"41,278",0.16,0.31,0.9621,186 of 371,199 of 371
ORA,92.54,92.37,92.09,94.01,833,0.0,0.67,22.46,64.17,-53.56,148.51,21.25,8.75,"37,694",-0.01,0.09,,280 of 371,207 of 371
BB,4.01,3.97,3.94,4.07,"45,580",0.0,3.62,39.05,75.77,-13.11,3.9,122.71,318.17,"358,424",1.22,11.7,0.9614,53 of 371,75 of 371
GCI,4.27,4.42,4.25,4.45,786,0.0,-0.93,43.46,66.64,9.66,-4.37,-20.61,-27.96,"15,760",0.1,1.11,,283 of 371,253 of 371
WDC,100.94,102.22,99.72,102.39,"63,263",0.0,4.98,32.46,105.35,-36.02,76.14,74.78,191.92,"392,748",1.41,12.93,1.8232,44 of 371,71 of 371
RIVN,14.11,14.4,13.96,14.63,"181,024",0.0,1.0,43.65,69.91,2.02,-0.34,34.02,27.67,"2,964,789",0.93,2.96,1.0413,19 of 371,10 of 371
DBX,31.68,32.37,31.28,32.4,"5,454",0.0,2.49,21.83,35.31,-50.85,-19.99,31.58,18.98,"77,578",0.31,1.88,1.0051,162 of 371,160 of 371
VRNS,56.96,57.17,56.54,58.14,296,0.0,-0.4,26.98,42.74,-54.34,3.46,-5.43,3.86,"6,948",-0.2,-0.39,,330 of 371,293 of 371
SO,91.63,91.59,91.4,92.06,"3,517",0.0,-0.54,14.88,219.34,7.9,936.27,-11.83,-50.93,"102,365",0.32,6.37,,195 of 371,138 of 371
JD,35.24,35.47,34.55,35.69,"298,306",0.0,2.44,32.61,201.41,3.78,300.69,-27.11,-34.84,"2,518,663",2.5,25.21,,12 of 371,14 of 371
MSTR,329.71,335.78,323.2,340.11,"983,248",0.0,1.13,49.23,75.32,-13.33,-5.09,137.21,119.91,"2,776,123",1.14,-1.51,1.0406,4 of 371,12 of 371
BXMT,19.34,19.42,19.28,19.74,"2,566",0.0,-1.98,19.99,320.37,-15.58,612.26,23.96,70.61,"76,650",0.61,1.25,,217 of 371,161 of 371
MARA,17.34,17.37,16.75,17.81,"951,633",0.0,10.38,64.78,86.21,-8.27,-18.01,167.69,275.01,"2,846,237",0.87,7.66,0.92,5 of 371,11 of 371
BSY,52.74,52.42,52.32,53.5,"1,551",0.0,-1.35,21.23,57.97,-6.04,72.09,-19.55,-32.15,"66,471",0.32,1.27,,246 of 371,172 of 371
BFH,61.82,63.19,61.4,64.39,"1,197",0.0,-3.3,34.81,106.92,-18.26,100.13,-1.32,-48.07,"6,812",0.15,1.79,,264 of 371,294 of 371
PDD,134.86,132.86,131.6,135.36,"112,902",0.0,7.27,37.45,41.48,-30.0,-30.27,-54.32,-9.87,"2,064,801",1.94,7.19,0.9889,26 of 371,19 of 371
Z,90.32,91.0,90.04,93.88,"11,346",0.0,1.18,33.22,43.91,-2.85,-5.76,-66.08,-47.66,"181,226",3.74,3.63,0.9054,120 of 371,109 of 371
MAXN,3.8,4.01,3.77,4.08,743,0.0,-4.04,94.11,159.19,-28.74,-23.73,0.0,-23.08,"50,402",0.0,0.2,,287 of 371,186 of 371
CNP,38.05,37.86,37.73,38.28,"2,000",0.0,-0.5,15.74,164.13,5.09,566.45,-3.33,-15.65,"39,480",0.28,1.74,,236 of 371,202 of 371
HTHT,38.22,37.5,37.5,38.67,"14,182",0.0,3.47,27.24,365.97,-21.89,473.76,0.38,17.65,"13,485",-0.02,0.66,,112 of 371,260 of 371
EXAS,52.38,52.76,52.11,53.63,"3,043",0.0,-6.46,39.94,53.68,-17.75,-9.38,-2.15,-30.22,"57,787",0.68,3.91,0.9865,207 of 371,180 of 371
GH,57.19,55.67,55.62,58.75,"7,143",0.0,0.7,52.66,65.34,-20.46,-13.73,-34.62,-12.24,"60,980",-3.56,0.7,0.9418,145 of 371,177 of 371
BKNG,5553.7,5480.0,5454.96,5557.4,"9,321",0.0,1.01,19.68,108.41,-9.37,157.95,14.21,9.56,"35,424",1.23,3.33,2.695,133 of 371,209 of 371
NET,213.88,219.65,208.59,220.17,"14,436",0.0,-4.79,36.41,56.05,-12.7,-2.67,-26.34,-9.09,"200,390",1.76,4.01,1.203,111 of 371,103 of 371
PENN,18.91,18.85,18.71,19.36,"4,277",0.0,-5.59,40.27,51.27,-24.22,-17.87,-54.34,-46.74,"220,010",1.81,1.75,0.9677,173 of 371,98 of 371
PCRX,26.07,26.53,25.95,26.75,222,0.0,-3.55,33.92,62.94,-23.49,7.35,8.82,0.91,"2,290",0.09,1.78,0.9936,338 of 371,328 of 371
SENS,0.45,0.45,0.44,0.46,605,0.0,-1.71,52.07,133.89,-62.63,-31.48,-63.31,-54.31,"96,035",0.83,4.27,,298 of 371,144 of 371
CAMT,89.0,86.35,85.6,89.08,"3,519",0.0,5.81,45.62,236.04,17.83,296.53,175.78,266.18,"22,623",-0.29,3.06,,194 of 371,230 of 371
F,11.66,11.63,11.55,11.88,"108,558",0.0,-0.85,23.74,242.1,-7.53,420.24,-6.88,-17.96,"3,628,999",0.23,0.79,,28 of 371,7 of 371
SMTC,62.22,61.69,60.87,62.79,"3,053",0.0,2.15,52.7,65.17,-60.4,-54.9,36.48,23.2,"42,571",0.17,0.97,0.995,206 of 371,194 of 371
BA,214.63,215.59,213.13,218.05,"130,288",0.0,-2.44,26.04,40.13,-4.06,-5.62,55.13,-18.0,"1,144,944",1.17,6.78,1.1794,25 of 371,28 of 371
HOPE,10.84,10.76,10.76,11.13,18,0.0,-2.78,27.47,397.15,9.6,118.36,0.0,5.88,301,0.0,1.69,,362 of 371,361 of 371
SMCI,44.9,44.64,43.69,45.4,"247,023",0.0,2.16,72.93,70.64,2.98,2.69,61.54,57.82,"2,485,536",1.65,-2.06,1.0387,15 of 371,16 of 371
BBIO,51.18,52.11,51.17,52.72,"2,343",0.0,-2.7,40.95,63.18,-25.2,-2.99,2.94,-50.09,"79,663",0.02,0.91,0.8993,226 of 371,158 of 371
PTON,8.13,7.94,7.94,8.31,"13,958",0.0,6.27,71.86,75.88,-12.28,4.19,-70.33,-48.14,"638,972",2.29,4.27,0.9556,113 of 371,51 of 371
DNMR,0.35,0.35,0.35,0.35,287,0.0,0.0,0.0,392.76,0.39,2.66,0.0,0.0,"21,238",0.0,0.0,,332 of 371,236 of 371
ITRI,117.91,117.84,117.14,119.81,466,0.0,-2.15,26.07,44.79,-11.41,-4.04,6.15,-3.72,"2,960",0.17,-0.27,0.9768,311 of 371,323 of 371
AFRM,90.4,89.77,87.63,91.17,"63,702",0.0,11.04,64.97,65.38,-27.3,-4.99,-41.26,-38.68,"576,155",4.55,7.72,1.1304,42 of 371,54 of 371
UPHL,0.0,0.0,0.0,0.0,N/A,0.0,0.0,91.49,,,,,,N/A,,,,367 of 371,367 of 371
HLIT,10.03,10.02,9.95,10.22,481,0.0,-0.89,36.89,51.03,4.65,2.31,-10.26,30.71,"4,246",-0.05,3.16,,308 of 371,309 of 371
ZS,279.46,280.94,277.06,286.79,"18,570",0.0,-2.51,30.23,43.68,-23.0,4.98,71.4,-6.49,"143,762",0.85,-2.82,0.893,102 of 371,118 of 371
